"행정구역","2023년10월_계_총인구수","2023년10월_계_연령구간인구수","2023년10월_계_0~9세","2023년10월_계_10~19세","2023년10월_계_20~29세","2023년10월_계_30~39세","2023년10월_계_40~49세","2023년10월_계_50~59세","2023년10월_계_60~69세","2023년10월_계_70~79세","2023년10월_계_80~89세","2023년10월_계_90~99세","2023년10월_계_100세 이상"
"서울특별시 성북구 장위제3동(1129078000)","15,567","15,567","1,505","1,301","1,939","2,281","2,625","2,519","1,995","935","423","43","1"
"서울특별시 성북구 석관동(1129081000)","33,911","33,911","1,674","2,012","4,608","4,648","4,612","5,663","5,589","3,349","1,606","146","4"
"서울특별시 강북구 (1130500000)","289,372","289,372","11,811","19,324","38,620","35,203","40,184","50,242","47,972","29,668","14,740","1,559","49"
"서울특별시 강북구 삼양동(1130553400)","22,493","22,493","1,005","1,609","2,833","2,625","3,075","4,159","3,788","2,243","1,052","101","3"
"서울특별시 강북구 미아동(1130553500)","20,929","20,929","581","1,161","3,563","2,705","2,637","3,530","3,543","2,043","1,066","99","1"
"서울특별시 강북구 송중동(1130554500)","28,704","28,704","1,301","1,867","3,811","3,783","4,122","4,949","4,739","2,746","1,256","130","0"
"서울특별시 강북구 송천동(1130555500)","24,872","24,872","744","1,357","3,042","2,919","3,185","4,591","4,744","2,817","1,332","135","6"
"서울특별시 강북구 삼각산동(1130557500)","30,646","30,646","2,275","3,806","3,279","3,210","5,712","5,458","3,649","2,121","1,025","106","5"
"서울특별시 강북구 번1동(1130559500)","17,718","17,718","519","875","2,937","2,548","2,555","2,960","2,732","1,707","808","74","3"
"서울특별시 강북구 번2동(1130560300)","14,915","14,915","477","860","1,866","1,585","1,952","2,526","2,711","1,921","923","91","3"
"서울특별시 강북구 번3동(1130560800)","16,377","16,377","675","1,115","1,729","1,605","2,136","2,747","2,692","2,392","1,167","114","5"
"서울특별시 강북구 수유1동(1130561500)","19,966","19,966","738","1,228","2,840","2,654","2,592","3,346","3,424","2,030","979","132","3"
"서울특별시 강북구 수유2동(1130562500)","20,626","20,626","858","1,235","2,621","2,369","2,746","3,546","3,641","2,219","1,248","140","3"
"서울특별시 강북구 수유3동(1130563500)","23,041","23,041","617","1,023","4,259","3,348","2,930","3,892","3,674","2,125","1,072","97","4"
"서울특별시 강북구 우이동(1130564500)","19,895","19,895","856","1,247","2,320","2,400","2,655","3,538","3,410","2,122","1,193","149","5"
"서울특별시 강북구 인수동(1130566000)","29,190","29,190","1,165","1,941","3,520","3,452","3,887","5,000","5,225","3,182","1,619","191","8"
"서울특별시 도봉구 (1132000000)","307,470","307,470","14,401","22,547","37,643","37,765","42,797","54,038","53,033","28,821","14,472","1,890","63"
"서울특별시 도봉구 창제1동(1132051100)","24,089","24,089","1,147","1,931","2,973","3,179","3,591","4,214","3,740","2,071","1,089","148","6"
"서울특별시 도봉구 창제2동(1132051200)","28,214","28,214","1,383","2,038","3,746","3,803","4,124","4,922","4,428","2,428","1,199","140","3"
"서울특별시 도봉구 창제3동(1132051300)","13,259","13,259","526","922","1,509","1,516","1,930","2,429","2,335","1,358","674","56","4"
"서울특별시 도봉구 창제4동(1132051400)","26,101","26,101","1,406","2,348","3,360","3,295","3,916","4,739","4,060","1,827","972","176","2"
"서울특별시 도봉구 창제5동(1132051500)","23,928","23,928","1,198","1,723","3,207","3,414","3,191","4,201","3,927","1,928","988","146","5"
"서울특별시 도봉구 도봉제1동(1132052100)","20,121","20,121","615","1,020","2,160","2,089","2,526","3,509","4,010","2,737","1,304","142","9"
"서울특별시 도봉구 도봉제2동(1132052200)","25,965","25,965","1,406","1,414","2,709","3,320","3,407","4,193","4,906","3,003","1,413","188","6"
"서울특별시 도봉구 쌍문제1동(1132066000)","20,679","20,679","904","1,417","2,748","2,420","2,774","3,663","3,462","2,040","1,126","122","3"
"서울특별시 도봉구 쌍문제2동(1132067000)","17,949","17,949","797","1,141","2,170","2,333","2,485","3,123","3,186","1,708","861","142","3"
"서울특별시 도봉구 쌍문제3동(1132068000)","16,503","16,503","689","927","2,412","2,358","2,252","2,785","2,634","1,588","783","70","5"
"서울특별시 도봉구 쌍문제4동(1132068100)","18,117","18,117","959","1,807","2,198","2,144","2,663","3,208","3,101","1,259","673","104","1"
"서울특별시 도봉구 방학제1동(1132069000)","27,725","27,725","1,207","2,044","3,485","3,069","3,803","5,072","4,924","2,736","1,244","134","7"
"서울특별시 도봉구 방학제2동(1132070000)","18,649","18,649","672","1,252","2,184","1,967","2,379","3,529","3,533","1,978","1,031","121","3"
"서울특별시 도봉구 방학제3동(1132071000)","26,171","26,171","1,492","2,563","2,782","2,858","3,756","4,451","4,787","2,160","1,115","201","6"
"서울특별시 노원구 (1135000000)","499,553","499,553","26,723","47,639","66,699","61,079","75,947","86,245","73,214","39,481","19,599","2,844","83"
"서울특별시 노원구 월계1동(1135056000)","20,623","20,623","899","1,506","3,627","2,370","2,864","3,318","3,085","1,972","863","117","2"
"서울특별시 노원구 월계2동(1135057000)","25,586","25,586","1,376","1,906","2,776","2,825","3,792","4,304","4,509","2,674","1,220","199","5"
"서울특별시 노원구 월계3동(1135058000)","28,762","28,762","1,736","1,913","3,174","4,249","4,179","4,539","4,657","2,798","1,340","172","5"
